
1,1,0,0,551
2,2,0,0,565
3,3,0,0,586
4,4,0,0,614
5,5,0,0,823
6,6,0,0,851
7,7,0,0,879
8,8,0,0,907
9,9,0,0,1047
10,10,0,0,1073
11,11,0,0,1099
12,12,0,0,1193
13,13,0,0,1219
14,14,0,0,1245
15,15,0,0,1339
16,16,0,0,1365
17,17,0,0,1391
18,18,0,0,1485
19,19,0,0,1511
20,20,0,0,1537
21,21,0,0,1631
22,22,0,0,1657
23,23,0,0,1683
24,24,0,0,1777
25,25,0,0,1803
26,26,0,0,1829
27,27,0,0,1923
28,28,0,0,1949
29,29,0,0,1975
30,30,0,0,2069
31,31,0,0,2095
32,32,0,0,2121
33,33,0,0,2215
34,34,0,0,2241
35,35,0,0,2267
