PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,36.0000001,137.095992,-0.386,0.018,-2.004,7,5437,1,3
2,36.0000121,137.0959911,-0.647,3.741,-2.228,7,5437,1,3
3,36.0000325,137.0959919,-0.647,10.018,-2.031,7,5437,1,3
4,36.000044,137.0959946,-0.647,13.572,-1.362,7,5437,1,3
5,36.0000514,137.1000129,-0.647,15.83,3.222,7,5437,1,3
6,36.0000523,137.1000363,-0.647,16.108,9.088,7,5437,1,3
7,36.000055,137.1001554,-0.647,16.949,38.923,7,5437,1,3
