LnID,DID,BLID,FLID,BNID,FNID,JCT,BLID2,BLID3,BLID4,FLID2,FLID3,FLID4,ClossID,Span,LCnt,Lno,LaneType,LimitVel,RefVel,RoadSecID,LaneChgFG,LinkWAID
1,0,0,2,1,2,0,0,0,0,0,0,0,0,3.739,1,1,0,3,3,0,0,0
2,0,1,3,2,3,0,0,0,0,0,0,0,0,6.28,1,1,0,3,3,0,0,0
3,0,2,4,3,4,0,0,0,0,0,0,0,0,3.616,1,1,0,3,3,0,0,0
4,0,3,5,4,5,0,0,0,0,0,0,0,0,5.11,1,1,0,3,3,0,0,0
5,0,4,6,5,6,0,0,0,0,0,0,0,0,5.873,1,1,0,3,3,0,0,0
6,0,5,0,6,7,0,0,0,0,0,0,0,0,29.847,1,1,0,3,3,0,0,0
